路線番号,起点,終点,通過都道府県,通過数,要確認,要確認理由
18,群馬県高崎市,新潟県上越市,群馬県→長野県→新潟県,3,,
19,愛知県名古屋市熱田区,長野県長野市,愛知県→岐阜県→長野県,3,,
20,東京都中央区,長野県塩尻市,東京都→神奈川県→山梨県→長野県,4,,
21,岐阜県瑞浪市,滋賀県米原市,岐阜県→滋賀県,2,,
22,愛知県名古屋市熱田区,岐阜県岐阜市,愛知県→岐阜県,2,,
23,愛知県豊橋市,三重県伊勢市,愛知県→三重県,2,,
24,京都府京都市下京区,和歌山県和歌山市,京都府→奈良県→和歌山県,3,,
25,三重県四日市市,大阪府大阪市北区,三重県→奈良県→大阪府,3,,
26,大阪府大阪市北区,和歌山県和歌山市,大阪府→和歌山県,2,,
27,福井県敦賀市,京都府船井郡京丹波町,福井県→京都府,2,,
28,兵庫県神戸市中央区,徳島県徳島市,兵庫県→徳島県,2,,
29,兵庫県姫路市,鳥取県鳥取市,兵庫県→鳥取県,2,,
30,岡山県岡山市北区,香川県高松市,岡山県→香川県,2,,
31,広島県安芸郡海田町,広島県呉市,広島県,1,,
32,香川県高松市,高知県高知市,香川県→徳島県→高知県,3,,
33,高知県高知市,愛媛県松山市,高知県→愛媛県,2,,
34,佐賀県鳥栖市,長崎県長崎市,佐賀県→長崎県,2,,
35,佐賀県武雄市,長崎県佐世保市,佐賀県→長崎県,2,,
36,北海道札幌市中央区,北海道室蘭市,北海道,1,,
37,北海道山越郡長万部町,北海道室蘭市,北海道,1,,
38,北海道滝川市,北海道釧路市,北海道,1,,
39,北海道旭川市,北海道網走市,北海道,1,,
40,北海道旭川市,北海道稚内市,北海道,1,,
41,愛知県名古屋市東区,富山県富山市,愛知県→岐阜県→富山県,3,,
42,静岡県浜松市中央区,和歌山県和歌山市,静岡県→愛知県→三重県→和歌山県,4,,
43,大阪府大阪市西成区,兵庫県神戸市灘区,大阪府→兵庫県,2,,
44,北海道釧路市,北海道根室市,北海道,1,,
45,宮城県仙台市青葉区,青森県青森市,宮城県→岩手県→青森県,3,,
46,岩手県盛岡市,秋田県秋田市,岩手県→秋田県,2,,
47,宮城県仙台市宮城野区,山形県酒田市,宮城県→山形県,2,,
48,宮城県仙台市青葉区,山形県山形市,宮城県→山形県,2,,
49,福島県いわき市,新潟県新潟市中央区,福島県→新潟県,2,,
50,群馬県前橋市,茨城県水戸市,群馬県→栃木県→茨城県,3,,
51,千葉県千葉市中央区,茨城県水戸市,千葉県→茨城県,2,,
52,静岡県静岡市清水区,山梨県甲府市,静岡県→山梨県,2,,
53,岡山県岡山市北区,鳥取県鳥取市,岡山県→鳥取県,2,,
54,広島県広島市中区,島根県松江市,広島県→島根県,2,,
55,徳島県徳島市,高知県高知市,徳島県→高知県,2,,
56,高知県高知市,愛媛県松山市,高知県→愛媛県,2,,
57,大分県大分市,長崎県長崎市,大分県→熊本県→長崎県,3,TRUE,"隣接していない可能性: [('熊本県', '長崎県')]"
58,鹿児島県鹿児島市,沖縄県那覇市,鹿児島県→沖縄県,2,TRUE,"隣接していない可能性: [('鹿児島県', '沖縄県')]"
101,青森県青森市,秋田県秋田市,青森県→秋田県,2,,
102,青森県弘前市,青森県十和田市,青森県→秋田県,2,,
103,青森県青森市,秋田県大館市,青森県→秋田県,2,,
104,青森県八戸市,秋田県大館市,青森県→秋田県,2,,
105,秋田県由利本荘市,秋田県北秋田市,秋田県,1,,
106,岩手県宮古市,岩手県盛岡市,岩手県,1,,
107,岩手県大船渡市,秋田県由利本荘市,岩手県→秋田県,2,,
108,宮城県石巻市,秋田県由利本荘市,宮城県→秋田県,2,,
112,山形県山形市,山形県酒田市,山形県,1,,
113,新潟県新潟市中央区,福島県相馬市,新潟県→山形県→宮城県→福島県,4,,
114,福島県福島市,福島県相馬郡浪江町,福島県,1,,
115,福島県相馬市,福島県耶麻郡猪苗代町,福島県,1,,
116,新潟県柏崎市,新潟県新潟市中央区,新潟県,1,,
117,長野県長野市,新潟県小千谷市,長野県→新潟県,2,,
118,茨城県水戸市,福島県会津若松市,茨城県→福島県,2,,
119,栃木県日光市,栃木県宇都宮市,栃木県,1,,
120,栃木県日光市,群馬県沼田市,栃木県→群馬県,2,,
121,山形県米沢市,栃木県芳賀郡益子町,山形県→福島県→栃木県,3,,
122,栃木県日光市,東京都豊島区,栃木県→群馬県→埼玉県→東京都,4,,
123,栃木県宇都宮市,茨城県水戸市,栃木県→茨城県,2,,
124,千葉県銚子市,茨城県水戸市,千葉県→茨城県,2,,
125,千葉県香取市,埼玉県熊谷市,千葉県→茨城県→埼玉県,3,,
126,千葉県銚子市,千葉県千葉市稲毛区,千葉県,1,,
127,千葉県館山市,千葉県木更津市,千葉県,1,,
128,千葉県館山市,千葉県千葉市中央区,千葉県,1,,
129,神奈川県平塚市,神奈川県相模原市緑区,神奈川県,1,,
130,東京都港区,東京都港区,東京都,1,,
131,東京都大田区,東京都大田区,東京都,1,,
132,神奈川県川崎市川崎区,神奈川県川崎市川崎区,神奈川県,1,,
133,神奈川県横浜市中区,神奈川県横浜市中区,神奈川県,1,,
134,神奈川県横須賀市,神奈川県中郡大磯町,神奈川県,1,,
135,静岡県下田市,神奈川県小田原市,静岡県→神奈川県,2,,
136,静岡県下田市,静岡県三島市,静岡県,1,,
137,山梨県富士吉田市,山梨県笛吹市,山梨県,1,,
138,山梨県富士吉田市,神奈川県小田原市,山梨県→神奈川県,2,,
139,静岡県富士市,東京都西多摩郡奥多摩町,静岡県→山梨県→東京都,3,,
140,埼玉県熊谷市,山梨県南巨摩郡富士川町,埼玉県→山梨県,2,,
141,山梨県韮崎市,長野県上田市,山梨県→長野県,2,,
142,長野県北佐久郡軽井沢町,長野県諏訪郡下諏訪町,長野県,1,,
143,長野県松本市,長野県上田市,長野県,1,,
144,群馬県吾妻郡長野原町,長野県上田市,群馬県→長野県,2,,
145,群馬県吾妻郡長野原町,群馬県沼田市,群馬県,1,,
146,群馬県吾妻郡長野原町,長野県北佐久郡軽井沢町,群馬県→長野県,2,,
147,長野県大町市,長野県松本市,長野県,1,,
148,長野県大町市,新潟県糸魚川市,長野県→新潟県,2,,
149,静岡県静岡市清水区,静岡県静岡市清水区,静岡県,1,,
150,静岡県静岡市清水区,静岡県浜松市中央区,静岡県,1,,
151,長野県飯田市,愛知県豊橋市,長野県→愛知県,2,,
152,長野県上田市,静岡県浜松市中央区,長野県→静岡県,2,,
153,愛知県名古屋市東区,長野県塩尻市,愛知県→長野県,2,,
154,愛知県名古屋市港区,愛知県名古屋市熱田区,愛知県,1,,
155,愛知県常滑市,愛知県弥富市,愛知県,1,,
156,岐阜県岐阜市,富山県高岡市,岐阜県→富山県,2,,
157,石川県金沢市,岐阜県岐阜市,石川県→福井県→岐阜県,3,,
158,福井県福井市,長野県松本市,福井県→岐阜県→長野県,3,,
159,石川県七尾市,石川県金沢市,石川県,1,,
160,石川県七尾市,富山県高岡市,石川県→富山県,2,,
161,福井県敦賀市,滋賀県大津市,福井県→滋賀県,2,,
162,京都府京都市右京区,福井県敦賀市,京都府→福井県,2,,
163,大阪府大阪市北区,三重県津市,大阪府→奈良県→京都府→三重県,4,,
164,三重県四日市市,三重県四日市市,三重県,1,,
165,大阪府大阪市北区,三重県津市,大阪府→奈良県→三重県,3,,
166,大阪府羽曳野市,三重県松阪市,大阪府→奈良県→三重県,3,,
167,三重県志摩市,三重県伊勢市,三重県,1,,
168,和歌山県新宮市,大阪府枚方市,和歌山県→奈良県→大阪府,3,,
169,奈良県奈良市,和歌山県新宮市,奈良県→三重県→和歌山県,3,,
170,大阪府高槻市,大阪府泉佐野市,大阪府,1,,
171,京都府京都市南区,兵庫県神戸市中央区,京都府→大阪府→兵庫県,3,,
172,大阪府大阪市港区,大阪府大阪市中央区,大阪府,1,,
173,大阪府池田市,京都府綾部市,大阪府→兵庫県→京都府,3,TRUE,主資料「終点」欄の都道府県名の入力ミスと判断し補正: 兵庫県 -> 京都府（終点の市区町村名・備考欄・Wikipediaの記載で裏付け。ユーザー承認済み）
174,兵庫県神戸市中央区,兵庫県神戸市中央区,兵庫県,1,,
175,兵庫県明石市,京都府舞鶴市,兵庫県→京都府,2,,
176,京都府宮津市,大阪府大阪市北区,京都府→兵庫県→大阪府,3,,
177,京都府舞鶴市,京都府舞鶴市,京都府,1,,
178,京都府舞鶴市,鳥取県岩美郡岩美町,京都府→兵庫県→鳥取県,3,,
179,兵庫県姫路市,鳥取県東伯郡湯梨浜町,兵庫県→岡山県→鳥取県,3,,
180,岡山県岡山市北区,島根県松江市,岡山県→鳥取県→島根県,3,,
181,岡山県津山市,鳥取県米子市,岡山県→鳥取県,2,,
182,岡山県新見市,広島県福山市,岡山県→広島県,2,,
183,広島県広島市中区,鳥取県米子市,広島県→鳥取県,2,TRUE,"隣接していない可能性: [('広島県', '鳥取県')]"
184,島根県出雲市,広島県尾道市,島根県→広島県,2,,
185,広島県呉市,広島県三原市,広島県,1,,
186,島根県江津市,広島県大竹市,島根県→広島県,2,,
187,山口県岩国市,島根県益田市,山口県→島根県,2,,
188,山口県岩国市,山口県下松市,山口県,1,,
189,山口県岩国市,山口県岩国市,山口県,1,,
190,山口県山口市,山口県下関市,山口県,1,,
191,山口県下関市,広島県広島市中区,山口県→島根県→広島県,3,,
192,愛媛県西条市,徳島県徳島市,愛媛県→徳島県,2,,
193,香川県高松市,徳島県海部郡海陽町,香川県→徳島県,2,,
194,高知県高知市,愛媛県西条市,高知県→愛媛県,2,,
195,高知県高知市,徳島県徳島市,高知県→徳島県,2,,
196,愛媛県松山市,愛媛県西条市,愛媛県,1,,
197,高知県高知市,大分県大分市,高知県→愛媛県→大分県,3,TRUE,"隣接していない可能性: [('愛媛県', '大分県')]"
198,福岡県北九州市門司区,福岡県北九州市門司区,福岡県,1,,
199,福岡県北九州市門司区,福岡県北九州市八幡西区,福岡県,1,,
200,福岡県北九州市八幡西区,福岡県筑紫野市,福岡県,1,,
201,福岡県福岡市東区,福岡県京都郡苅田町,福岡県,1,,
202,福岡県福岡市博多区,長崎県長崎市,福岡県→佐賀県→長崎県,3,,
203,佐賀県唐津市,佐賀県佐賀市,佐賀県,1,,
204,佐賀県唐津市,長崎県佐世保市,佐賀県→長崎県,2,,
205,長崎県佐世保市,長崎県東彼杵郡東彼杵町,長崎県,1,,
206,長崎県長崎市,長崎県佐世保市,長崎県,1,,
207,佐賀県佐賀市,長崎県西彼杵郡時津町,佐賀県→長崎県,2,,
208,熊本県熊本市中央区,佐賀県佐賀市,熊本県→福岡県→佐賀県,3,,
209,福岡県大牟田市,福岡県久留米市,福岡県,1,,
210,福岡県久留米市,大分県大分市,福岡県→大分県,2,,
211,大分県日田市,福岡県北九州市八幡西区,大分県→福岡県,2,,
212,大分県中津市,熊本県阿蘇市,大分県→熊本県,2,,
213,大分県別府市,大分県中津市,大分県,1,,
217,大分県大分市,大分県佐伯市,大分県,1,,
218,熊本県熊本市中央区,宮崎県延岡市,熊本県→宮崎県,2,,
219,熊本県熊本市中央区,宮崎県宮崎市,熊本県→宮崎県,2,,
220,宮崎県宮崎市,鹿児島県霧島市,宮崎県→鹿児島県,2,,
221,熊本県人吉市,宮崎県都城市,熊本県→宮崎県,2,,
222,宮崎県日南市,宮崎県都城市,宮崎県→鹿児島県,2,,
223,宮崎県小林市,鹿児島県霧島市,宮崎県→鹿児島県,2,,
224,鹿児島県垂水市,鹿児島県鹿児島市,鹿児島県,1,,
225,鹿児島県枕崎市,鹿児島県鹿児島市,鹿児島県,1,,
226,鹿児島県南さつま市,鹿児島県鹿児島市,鹿児島県,1,,
227,北海道函館市,北海道檜山郡江差町,北海道,1,,
228,北海道函館市,北海道檜山郡江差町,北海道,1,,
229,北海道小樽市,北海道檜山郡江差町,北海道,1,,
230,北海道札幌市中央区,北海道久遠郡せたな町,北海道,1,,
231,北海道札幌市北区,北海道留萌市,北海道,1,,
232,北海道稚内市,北海道留萌市,北海道,1,,
233,北海道旭川市,北海道留萌市,北海道,1,,
234,北海道岩見沢市,北海道苫小牧市,北海道,1,,
235,北海道室蘭市,北海道浦河郡浦河町,北海道,1,,
236,北海道帯広市,北海道浦河郡浦河町,北海道,1,,
237,北海道旭川市,北海道浦河郡浦河町,北海道,1,,
238,北海道網走市,北海道稚内市,北海道,1,,
239,北海道網走市,北海道留萌市,北海道,1,,
240,北海道釧路市,北海道網走市,北海道,1,,
241,北海道川上郡弟子屈町,北海道帯広市,北海道,1,,
242,北海道網走市,北海道帯広市,北海道,1,,
243,北海道網走市,北海道根室市,北海道,1,,
244,北海道網走市,北海道根室市,北海道,1,,
245,茨城県水戸市,茨城県日立市,茨城県,1,,
246,東京都千代田区,静岡県沼津市,東京都→神奈川県→静岡県,3,,
247,愛知県名古屋市熱田区,愛知県豊橋市,愛知県,1,,
248,愛知県蒲郡市,岐阜県岐阜市,愛知県→岐阜県,2,,
249,石川県七尾市,石川県金沢市,石川県,1,,
250,兵庫県神戸市長田区,岡山県岡山市北区,兵庫県→岡山県,2,,
251,長崎県長崎市,長崎県諫早市,長崎県,1,,
252,新潟県柏崎市,福島県会津若松市,新潟県→福島県,2,,
253,新潟県上越市,新潟県南魚沼市,新潟県,1,,
254,東京都文京区,長野県松本市,東京都→埼玉県→群馬県→長野県,4,,
255,神奈川県秦野市,神奈川県小田原市,神奈川県,1,,
256,岐阜県岐阜市,長野県飯田市,岐阜県→長野県,2,,
257,静岡県浜松市中央区,岐阜県高山市,静岡県→愛知県→岐阜県,3,,
258,岐阜県大垣市,三重県桑名市,岐阜県→三重県,2,,
259,三重県鳥羽市,愛知県豊橋市,三重県→愛知県,2,,
260,三重県志摩市,三重県北牟婁郡紀北町,三重県,1,,
261,広島県広島市中区,島根県江津市,広島県→島根県,2,,
262,山口県萩市,山口県防府市,山口県,1,,
263,福岡県福岡市城南区,佐賀県佐賀市,福岡県→佐賀県,2,,
264,佐賀県佐賀市,福岡県久留米市,佐賀県→福岡県,2,,
265,宮崎県小林市,熊本県阿蘇市,宮崎県→熊本県,2,,
266,熊本県天草市,熊本県熊本市中央区,熊本県,1,,
267,熊本県人吉市,鹿児島県薩摩川内市,熊本県→鹿児島県,2,,
268,熊本県水俣市,宮崎県宮崎市,熊本県→鹿児島県→宮崎県,3,,
269,鹿児島県指宿市,宮崎県宮崎市,鹿児島県→宮崎県,2,,
270,鹿児島県枕崎市,鹿児島県いちき串木野市,鹿児島県,1,,
271,神奈川県小田原市,神奈川県厚木市,神奈川県,1,,
272,北海道釧路市,北海道標津郡標津町,北海道,1,,
273,北海道帯広市,北海道紋別市,北海道,1,,
274,北海道札幌市東区,北海道川上郡標茶町,北海道,1,,
275,北海道札幌市中央区,北海道枝幸郡浜頓別町,北海道,1,,
276,北海道檜山郡江差町,北海道苫小牧市,北海道,1,,
277,北海道檜山郡江差町,北海道二海郡八雲町,北海道,1,,
278,北海道函館市,北海道茅部郡森町,北海道,1,,
279,北海道函館市,青森県上北郡野辺地町,北海道→青森県,2,TRUE,"隣接していない可能性: [('北海道', '青森県')]"
280,青森県青森市,北海道函館市,青森県→北海道,2,TRUE,"隣接していない可能性: [('青森県', '北海道')]"
281,岩手県盛岡市,岩手県久慈市,岩手県,1,,
282,岩手県盛岡市,青森県平川市,岩手県→秋田県→青森県,3,,
283,岩手県釜石市,岩手県花巻市,岩手県,1,,
284,岩手県陸前高田市,岩手県一関市,岩手県→宮城県,2,,
285,秋田県秋田市,秋田県鹿角市,秋田県,1,,
286,宮城県仙台市太白区,山形県山形市,宮城県→山形県,2,,
287,山形県米沢市,山形県東根市,山形県,1,,
288,福島県郡山市,福島県双葉郡双葉町,福島県,1,,
289,新潟県新潟市中央区,福島県いわき市,新潟県→福島県,2,TRUE,主資料「終点」欄の都道府県名の入力ミスと判断し補正: 新潟県 -> 福島県（終点の市区町村名・備考欄・Wikipediaの記載で裏付け。ユーザー承認済み）
290,新潟県村上市,新潟県魚沼市,新潟県,1,,
291,群馬県前橋市,新潟県柏崎市,群馬県→新潟県,2,,
292,群馬県吾妻郡長野原町,新潟県上越市,群馬県→長野県→新潟県,3,,
293,茨城県日立市,栃木県足利市,茨城県→栃木県,2,,
294,千葉県柏市,福島県会津若松市,千葉県→茨城県→栃木県→福島県,4,,
295,千葉県成田市,千葉県成田市,千葉県,1,,
296,千葉県匝瑳市,千葉県船橋市,千葉県,1,,
297,千葉県館山市,千葉県市原市,千葉県,1,,
298,埼玉県和光市,千葉県市川市,埼玉県→東京都→千葉県,3,,
299,長野県茅野市,埼玉県入間市,長野県→群馬県→埼玉県,3,,
300,山梨県富士吉田市,山梨県南巨摩郡身延町,山梨県,1,,
301,静岡県浜松市中央区,愛知県豊田市,静岡県→愛知県,2,,
302,愛知県名古屋市中川区,愛知県名古屋市中川区,愛知県,1,,
303,岐阜県岐阜市,福井県三方上中郡若狭町,岐阜県→滋賀県→福井県,3,,
304,石川県金沢市,富山県南砺市,石川県→富山県,2,,
305,石川県金沢市,福井県南条郡南越前町,石川県→福井県,2,,
306,三重県津市,滋賀県彦根市,三重県→滋賀県,2,,
307,滋賀県彦根市,大阪府枚方市,滋賀県→京都府→大阪府,3,,
308,大阪府大阪市中央区,奈良県奈良市,大阪府→奈良県,2,,
309,三重県熊野市,大阪府大阪市平野区,三重県→奈良県→大阪府,3,,
310,大阪府堺市堺区,奈良県五條市,大阪府→奈良県,2,,
311,三重県尾鷲市,和歌山県西牟婁郡上富田町,三重県→和歌山県→奈良県,3,,
312,京都府宮津市,兵庫県姫路市,京都府→兵庫県,2,,
313,広島県福山市,鳥取県東伯郡北栄町,広島県→岡山県→鳥取県,3,,
314,広島県福山市,島根県雲南市,広島県→島根県,2,,
315,山口県周南市,山口県萩市,山口県,1,,
316,山口県長門市,山口県山陽小野田市,山口県,1,,
317,愛媛県松山市,広島県尾道市,愛媛県→広島県,2,,
318,徳島県徳島市,香川県東かがわ市,徳島県→香川県,2,,
319,香川県坂出市,愛媛県四国中央市,香川県→徳島県→愛媛県,3,,
320,高知県宿毛市,愛媛県北宇和郡鬼北町,高知県→愛媛県,2,,
321,高知県四万十市,高知県宿毛市,高知県,1,,
322,福岡県北九州市小倉北区,福岡県久留米市,福岡県,1,,
323,佐賀県佐賀市,佐賀県唐津市,佐賀県,1,,
324,長崎県長崎市,熊本県宇城市,長崎県→熊本県,2,TRUE,"隣接していない可能性: [('長崎県', '熊本県')]"
325,福岡県久留米市,宮崎県西臼杵郡高千穂町,福岡県→熊本県→宮崎県,3,,
326,宮崎県延岡市,大分県豊後大野市,宮崎県→大分県,2,,
327,宮崎県日向市,熊本県上益城郡山都町,宮崎県→熊本県,2,,
328,鹿児島県鹿児島市,鹿児島県出水市,鹿児島県,1,,
329,沖縄県名護市,沖縄県那覇市,沖縄県,1,,
330,沖縄県沖縄市,沖縄県那覇市,沖縄県,1,,
331,沖縄県那覇市,沖縄県国頭郡大宜味村,沖縄県,1,,
332,沖縄県那覇市,沖縄県那覇市,沖縄県,1,,
333,北海道旭川市,北海道北見市,北海道,1,,
334,北海道目梨郡羅臼町,北海道網走郡美幌町,北海道,1,,
335,北海道目梨郡羅臼町,北海道標津郡標津町,北海道,1,,
336,北海道浦河郡浦河町,北海道釧路市,北海道,1,,
337,北海道千歳市,北海道小樽市,北海道,1,,
338,北海道函館市,青森県上北郡おいらせ町,北海道→青森県,2,TRUE,"隣接していない可能性: [('北海道', '青森県')]"
339,青森県弘前市,青森県東津軽郡外ヶ浜町,青森県,1,,
340,岩手県陸前高田市,青森県八戸市,岩手県→青森県,2,,
341,秋田県鹿角市,秋田県由利本荘市,秋田県,1,,
342,秋田県横手市,宮城県登米市,秋田県→岩手県→宮城県,3,,
343,岩手県陸前高田市,岩手県奥州市,岩手県,1,,
344,秋田県湯沢市,山形県酒田市,秋田県→山形県,2,,
345,新潟県新潟市中央区,山形県飽海郡遊佐町,新潟県→山形県,2,,
346,宮城県仙台市青葉区,宮城県気仙沼市,宮城県→岩手県,2,,
347,山形県寒河江市,宮城県大崎市,山形県→宮城県,2,,
348,山形県長井市,山形県山形市,山形県,1,,
349,茨城県水戸市,宮城県柴田郡柴田町,茨城県→福島県→宮城県,3,,
350,新潟県新潟市中央区,新潟県上越市,新潟県,1,,
351,新潟県長岡市,新潟県小千谷市,新潟県,1,,
352,新潟県柏崎市,栃木県河内郡上三川町,新潟県→福島県→栃木県,3,,
353,群馬県桐生市,新潟県柏崎市,群馬県→新潟県,2,,
354,群馬県高崎市,茨城県鉾田市,群馬県→埼玉県→茨城県,3,,
355,千葉県香取市,茨城県笠間市,千葉県→茨城県,2,,
356,千葉県銚子市,千葉県我孫子市,千葉県,1,,
357,千葉県千葉市中央区,神奈川県横須賀市,千葉県→東京都→神奈川県,3,,
358,山梨県南都留郡富士河口湖町,山梨県甲府市,山梨県,1,,
359,富山県富山市,石川県金沢市,富山県→石川県,2,,
360,富山県富山市,石川県小松市,富山県→岐阜県→石川県,3,,
361,岐阜県高山市,長野県伊那市,岐阜県→長野県,2,,
362,愛知県豊川市,静岡県静岡市葵区,愛知県→静岡県,2,,
363,愛知県名古屋市名東区,岐阜県中津川市,愛知県→岐阜県,2,,
364,福井県大野市,石川県加賀市,福井県→石川県,2,,
365,石川県加賀市,三重県四日市市,石川県→福井県→滋賀県→岐阜県→三重県,5,,
366,愛知県半田市,愛知県名古屋市緑区,愛知県,1,,
367,京都府京都市下京区,福井県三方上中郡若狭町,京都府→滋賀県→福井県,3,,
368,三重県伊賀市,三重県多気郡多気町,三重県→奈良県,2,,
369,奈良県奈良市,三重県松阪市,奈良県→三重県,2,,
370,和歌山県海南市,奈良県奈良市,和歌山県→奈良県,2,,
371,大阪府河内長野市,和歌山県東牟婁郡串本町,大阪府→和歌山県→奈良県,3,,
372,京都府亀岡市,兵庫県姫路市,京都府→兵庫県,2,,
373,兵庫県赤穂市,鳥取県鳥取市,兵庫県→岡山県→鳥取県,3,,
374,岡山県備前市,岡山県津山市,岡山県,1,,
375,広島県呉市,島根県大田市,広島県→島根県,2,,
376,山口県山口市,山口県岩国市,山口県,1,,
377,徳島県鳴門市,香川県観音寺市,徳島県→香川県,2,,
378,愛媛県伊予市,愛媛県宇和島市,愛媛県,1,,
379,愛媛県松山市,愛媛県喜多郡内子町,愛媛県,1,,
380,愛媛県八幡浜市,愛媛県上浮穴郡久万高原町,愛媛県,1,,
381,高知県須崎市,愛媛県宇和島市,高知県→愛媛県,2,,
382,長崎県対馬市,佐賀県唐津市,長崎県→佐賀県,2,,
383,長崎県平戸市,佐賀県伊万里市,長崎県→佐賀県,2,,
384,長崎県五島市,長崎県佐世保市,長崎県,1,,
385,福岡県柳川市,福岡県福岡市博多区,福岡県→佐賀県,2,,
386,大分県日田市,福岡県筑紫野市,大分県→福岡県,2,,
387,大分県宇佐市,熊本県熊本市北区,大分県→熊本県,2,,
388,大分県佐伯市,熊本県球磨郡湯前町,大分県→宮崎県→熊本県,3,,
389,福岡県大牟田市,鹿児島県阿久根市,福岡県→熊本県→長崎県→鹿児島県,4,TRUE,"隣接していない可能性: [('熊本県', '長崎県'), ('長崎県', '鹿児島県')]"
390,沖縄県石垣市,沖縄県那覇市,沖縄県,1,,
391,北海道釧路市,北海道網走市,北海道,1,,
392,北海道釧路市,北海道中川郡本別町,北海道,1,,
393,北海道小樽市,北海道虻田郡倶知安町,北海道,1,,
394,青森県むつ市,青森県弘前市,青森県,1,,
395,岩手県久慈市,岩手県二戸市,岩手県,1,,
396,岩手県遠野市,岩手県盛岡市,岩手県,1,,
397,岩手県大船渡市,秋田県横手市,岩手県→秋田県,2,,
398,宮城県石巻市,秋田県由利本荘市,宮城県→秋田県,2,,
399,福島県いわき市,山形県南陽市,福島県→宮城県→山形県,3,,
400,茨城県水戸市,福島県耶麻郡西会津町,茨城県→栃木県→福島県,3,,
401,福島県会津若松市,群馬県沼田市,福島県→群馬県,2,,
402,新潟県柏崎市,新潟県新潟市中央区,新潟県,1,,
403,新潟県新潟市中央区,長野県松本市,新潟県→長野県,2,,
404,新潟県長岡市,新潟県上越市,新潟県,1,,
405,群馬県吾妻郡中之条町,新潟県上越市,群馬県→長野県→新潟県,3,,
406,長野県大町市,群馬県高崎市,長野県→群馬県,2,,
407,栃木県足利市,埼玉県入間市,栃木県→群馬県→埼玉県,3,,
408,千葉県成田市,栃木県塩谷郡高根沢町,千葉県→茨城県→栃木県,3,,
409,神奈川県川崎市高津区,千葉県成田市,神奈川県→千葉県,2,TRUE,"隣接していない可能性: [('神奈川県', '千葉県')]"
410,千葉県館山市,千葉県木更津市,千葉県,1,,
411,東京都八王子市,山梨県甲府市,東京都→山梨県,2,,
412,神奈川県平塚市,神奈川県相模原市緑区,神奈川県,1,,
413,山梨県富士吉田市,神奈川県相模原市緑区,山梨県→神奈川県,2,,
414,静岡県下田市,静岡県沼津市,静岡県,1,,
415,石川県羽咋市,富山県富山市,石川県→富山県,2,,
416,福井県福井市,石川県小松市,福井県→石川県,2,,
417,岐阜県大垣市,福井県南条郡南越前町,岐阜県→福井県,2,,
418,福井県大野市,長野県飯田市,福井県→岐阜県→長野県,3,,
419,岐阜県瑞浪市,愛知県高浜市,岐阜県→愛知県,2,,
420,愛知県豊田市,愛知県新城市,愛知県,1,,
421,三重県桑名市,滋賀県近江八幡市,三重県→滋賀県,2,,
422,滋賀県大津市,三重県北牟婁郡紀北町,滋賀県→三重県→奈良県,3,,
423,大阪府大阪市北区,京都府亀岡市,大阪府→京都府,2,,
424,和歌山県田辺市,和歌山県紀の川市,和歌山県,1,,
425,三重県尾鷲市,和歌山県御坊市,三重県→奈良県→和歌山県,3,,
